id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
953306949213332448,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,510608352,Oculus,,ΑΜΠΕΛΟΚΗΠΟΙ,37.9832706,23.7535501,Entire home/apt,48,2,0,,,4,249,0,00002123350
949700788831436322,Rental unit in Athina · ★New · Studio · 1 bed · 1 bath,132200769,Gavriil,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98653781728041,23.731514472599052,Entire home/apt,46,2,1,2023-08-27,1,3,259,1,00002257313
953344273077538336,Rental unit in Athina · ★New · 3 bedrooms · 3 beds · 2 baths,113548208,Mgv,,ΣΤΑΔΙΟ,37.96547311312839,23.736045942730538,Entire home/apt,187,1,2,2023-09-04,2,88,311,2,00002203631
949731203505096556,Rental unit in Μενεμένη · ★New · 1 bedroom · 2 beds · 1 bath,519276051,Gregorios,,ΑΜΠΕΛΟΚΗΠΟΙ,37.9906252,23.7624209,Entire home/apt,50,3,0,,,1,237,0,00002012033
953382959625350869,Rental unit in Athina · ★New · 2 bedrooms · 2 beds · 1 bath,90390850,Evan&Anetta,,ΓΟΥΒΑ,37.9584165,23.7389369,Entire home/apt,77,1,0,,,78,59,0,00002265068
949732013341703986,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,228213024,Cristina,,ΑΚΡΟΠΟΛΗ,37.964719062211614,23.71417019304834,Entire home/apt,65,2,0,,,3,259,0,00002248311
949765024856346456,Rental unit in Athina · ★5.0 · 2 bedrooms · 3 beds · 1 bath,449101255,Constantina,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9652,23.72457,Entire home/apt,60,2,3,2023-09-11,3,2,0,3,00002214992
949783693266315888,Aparthotel in Athina · ★4.25 · 1 bedroom · 1 bed · 1 bath,110974559,Dimitris,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9845257,23.7239092,Entire home/apt,39,1,4,2023-09-14,3.08,27,268,4,00002258766
953404124488243977,Rental unit in Athina · ★5.0 · 1 bedroom · 2 beds · 1 bath,134990753,Theofilos,,ΖΑΠΠΕΙΟ,37.96701901955438,23.732234380198836,Entire home/apt,41,1,4,2023-09-03,2.93,2,237,4,00002236830
949788067110786044,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,508478402,Home Story,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98289,23.72358,Entire home/apt,31,1,0,,,8,344,0,00002092095
949798032755867088,Aparthotel in Athina · ★New · 1 bedroom · 1 bed · 1 bath,110974559,Dimitris,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9845257,23.7239092,Entire home/apt,39,1,2,2023-09-17,2,27,267,2,00002258745
949816630596366027,Aparthotel in Athina · ★3.50 · 1 bedroom · 1 bed · 1 bath,110974559,Dimitris,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9845257,23.7239092,Entire home/apt,44,1,4,2023-09-12,4,27,264,4,00002258771
953457600847021796,Rental unit in Athina · ★5.0 · Studio · 1 bed · 1 bath,3421891,Peter,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9656366,23.7321142,Entire home/apt,107,2,7,2023-09-18,7,5,343,7,00002321037
949830787562284901,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,529621994,Evagelos,,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,38.023833,23.731884,Entire home/apt,49,2,0,,,1,255,0,00002201702
953528592985065512,Condo in Athina · ★New · 1 bedroom · 2 beds · 1 bath,529852630,Athanasia,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9903162,23.7250613,Entire home/apt,54,2,0,,,1,257,0,00002264231
953542546108602061,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,204301874,Joelle,,ΠΑΓΚΡΑΤΙ,37.9719289230857,23.743654608041695,Entire home/apt,100,3,0,,,15,267,0,00002259082
949852815445659662,Rental unit in Athina · ★5.0 · 1 bedroom · 1 bed · 1 bath,4777984,Romanos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97438929686308,23.733050812839252,Entire home/apt,142,2,4,2023-09-15,3.64,20,210,4,00002116740
949875672439879430,Rental unit in Athina · ★4.89 · 2 bedrooms · 3 beds · 2 baths,268514902,Viktor,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9952007,23.7290044,Entire home/apt,56,1,9,2023-09-06,5.87,28,46,9,00002259322
953641309766814303,Rental unit in Athina · ★4.67 · 1 bedroom · 1 bed · 1 bath,530694892,Victoria,,ΚΥΨΕΛΗ,38.0022400153281,23.739838452666167,Entire home/apt,60,2,3,2023-09-11,3,1,64,3,00002270078
949919705087959681,Rental unit in Athina · ★4.67 · 2 bedrooms · 2 beds · 1.5 baths,268514902,Viktor,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9948643,23.7302391,Entire home/apt,50,1,3,2023-09-04,2.05,28,50,3,00002259338
949959273503750140,Rental unit in Athina · ★4.89 · 2 bedrooms · 3 beds · 2 baths,268514902,Viktor,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99644042938172,23.72827789649767,Entire home/apt,56,1,9,2023-09-07,7.30,28,58,9,00002259338
953741303515832130,Home in Athina · ★4.91 · 1 bedroom · 1 bed · 1 bath,427620962,Stathis,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9635509,23.7303247,Entire home/apt,44,1,11,2023-09-15,8.68,1,240,11,00002270940
950018790607976446,Rental unit in Athina · ★New · 2 bedrooms · 4 beds · 1 bath,389319179,Zein,,ΛΥΚΑΒΗΤΤΟΣ,37.986913291264464,23.748464636049654,Entire home/apt,50,1,1,2023-08-30,1,2,108,1,00002248045
953777818616307767,Rental unit in Athina · ★5.0 · 1 bedroom · 1 bed · 1 bath,439199196,Nikolaos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976539,23.7242928,Entire home/apt,70,2,7,2023-09-12,5.68,6,346,7,00002257616
950393703184276390,Condo in Athina · ★New · 2 bedrooms · 2 beds · 1 bath,428201678,Goldally,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9911614,23.7224084,Entire home/apt,71,3,0,,,26,335,0,00002261316
953840468050839832,Rental unit in Athina · ★New · 3 bedrooms · 10 beds · 1.5 baths,103217576,Loukas,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976405,23.7305377,Entire home/apt,232,1,0,,,40,339,0,00002248736
950404077389797373,Rental unit in Kallithea · ★4.67 · 3 bedrooms · 4 beds · 3 baths,113548208,Mgv,,ΑΚΡΟΠΟΛΗ,37.9629408755518,23.716886085181446,Entire home/apt,224,1,3,2023-09-15,3,88,337,3,00002259183
950405719079333481,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,43277545,George,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98622,23.76356,Entire home/apt,48,2,1,2023-09-12,1,1,87,1,00002267566
953927810945141786,Rental unit in Athina · ★4.75 · 2 bedrooms · 4 beds · 1 bath,484381304,Elena,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9904461,23.7288601,Entire home/apt,47,1,4,2023-09-17,3.75,2,304,4,00002277002
953996438449033163,Rental unit in Athina · ★New · 4 bedrooms · 8 beds · 4 baths,512294505,Konstantinos,,ΝΕΟΣ ΚΟΣΜΟΣ,37.963863802246586,23.726178559372038,Entire home/apt,343,1,2,2023-09-16,2,6,318,2,12345678901
954017634867211642,Rental unit in Athina · ★New · 1 bedroom · 2 beds · 1 bath,113353393,Harry,,ΛΥΚΑΒΗΤΤΟΣ,37.98283,23.75154,Entire home/apt,100,1,1,2023-08-28,1,58,356,1,00002088460
954048252276168454,Rental unit in Athina · ★New · 2 bedrooms · 2 beds · 1 bath,207585401,Lili,,ΑΚΡΟΠΟΛΗ,37.9655822,23.7154743,Entire home/apt,100,3,0,,,1,364,0,Exempt
954060179524274283,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,24703234,GK Properties,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9567039,23.7278027,Entire home/apt,49,1,0,,,18,320,0,00000478789
950514706774871845,Rental unit in Athina · ★4.60 · 3 bedrooms · 3 beds · 2 baths,155617522,Amelie,,ΠΑΓΚΡΑΤΙ,37.96286,23.74682,Entire home/apt,70,2,5,2023-09-07,3.85,34,255,5,00002261337
950523947192341530,Rental unit in Athina · ★New · 2 bedrooms · 5 beds · 1 bath,529817289,Giota,,ΠΡΟΜΠΟΝΑ,38.0251909,23.7377968,Entire home/apt,77,3,0,,,1,349,0,00002229873
954069789465842466,Rental unit in Athina · ★5.0 · 1 bedroom · 1 bed · 1 bath,530805165,Thomas,,ΠΕΤΡΑΛΩΝΑ,37.9731111,23.712576,Entire home/apt,51,2,4,2023-08-26,4,4,236,4,00002267610
950526956446435518,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,491750136,WSD Home Inn,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99800814044534,23.721204200398784,Entire home/apt,45,1,0,,,24,354,0,2232009
950528249311789635,Rental unit in Athina · ★4.60 · 1 bedroom · 2 beds · 1 bath,23140157,Angelos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97870522472965,23.72781381368636,Entire home/apt,61,2,5,2023-09-16,3.75,14,63,5,00002265679
950536173987864402,Condo in Athina · ★New · 2 bedrooms · 2 beds · 2 baths,180724995,Co And Living,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9850273,23.7410269,Entire home/apt,48,4,1,2023-09-05,1,13,71,1,00002212447
954098154267085813,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,13031654,Ira & Oleg,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98244335323888,23.71960665013402,Entire home/apt,58,2,2,2023-09-06,2,37,234,2,00002087680
954110927903586673,Rental unit in Athina · ★New · 1 bedroom · 2 beds · 1 bath,530811177,Mint,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97064929686908,23.731421185217737,Entire home/apt,106,2,1,2023-09-10,1,1,358,1,00002264938
950577233865533387,Rental unit in Athina · ★New · 2 bedrooms · 3 beds · 1 bath,442337272,Panagiotis,,ΚΕΡΑΜΕΙΚΟΣ,37.98466715386233,23.715667091740467,Entire home/apt,88,1,0,,,1,269,0,00002261725
954177658062240491,Rental unit in Athina · ★New · 2 bedrooms · 3 beds · 2 baths,113548208,Mgv,,ΠΑΓΚΡΑΤΙ,37.97165053427219,23.74262876604662,Entire home/apt,85,1,0,,,88,304,0,00002148175
954204611562352896,Rental unit in Athina · ★New · 1 bedroom · 2 beds · 1 bath,389742996,G,,ΝΙΡΒΑΝΑ,38.01567594217228,23.721063339123564,Entire home/apt,65,2,0,,,16,362,0,00002005912
954261707423088998,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 shared bath,530859584,G. Ionas,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99007110567451,23.725558825979313,Private room,27,1,0,,,2,5,0,00002230340
954388358657115537,Condo in Athina · ★5.0 · 1 bedroom · 2 beds · 1 bath,335393826,Valerie,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9769391,23.7269542,Entire home/apt,120,2,3,2023-09-20,3,4,244,3,00001970320
950596639869994147,Rental unit in Athina · ★5.0 · 2 bedrooms · 2 beds · 1 bath,529837996,Betty'S,,ΓΚΥΖΗ,37.9905810718478,23.75213936305653,Entire home/apt,80,1,4,2023-09-03,3.33,1,263,4,00002261826
950605882888545348,Condo in Athina · ★New · 2 bedrooms · 4 beds · 3 baths,401055707,Aikaterini,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98025,23.72592,Entire home/apt,250,2,2,2023-09-05,2,4,348,2,00002242841
950737456154279384,Rental unit in Athina · ★New · Studio · 1 bed · 1 bath,411409438,VKbnb,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9964012,23.7314235,Entire home/apt,41,1,1,2023-09-06,1,14,50,1,00002182201
950779518170404442,Condo in Athina · ★New · 5 bedrooms · 6 beds · 3 baths,195429447,Michael,,ΚΥΨΕΛΗ,38.0018985,23.734019,Entire home/apt,177,2,1,2023-08-25,1,3,176,1,00002210953
950843529309220725,Rental unit in Athina · ★New · 1 bedroom · 2 beds · 1 bath,487941006,Ogust,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767556,23.7290954,Entire home/apt,125,2,0,,,3,247,0,00002261523
951015432650146691,Rental unit in Athina · ★New · 2 bedrooms · 3 beds · 1 bath,407200868,W.S.D Home Inn,,ΚΥΨΕΛΗ,38.00115,23.73502,Entire home/apt,61,1,0,,,16,126,0,00001423235
954427225130118545,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,446214701,Ayoub,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99213803338236,23.765927217900753,Entire home/apt,50,1,2,2023-09-16,2,2,173,2,00002277427
951190304046148093,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,231387850,Monkfish Trading MON IKE,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99180980558819,23.760325203832508,Entire home/apt,60,1,1,2023-08-31,1,19,238,1,00002262833
954465312831094778,Rental unit in Athina · ★5.0 · 1 bedroom · 1 bed · 1 bath,439199196,Nikolaos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976539,23.7242928,Entire home/apt,98,2,11,2023-09-16,9.17,6,331,11,00002257658
951211820970246744,Rental unit in Athina · ★4.86 · 1 bedroom · 1 bed · 1 bath,439199196,Nikolaos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976539,23.7242928,Entire home/apt,67,2,7,2023-09-17,6.56,6,341,7,00005368066
954633963383199945,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,3702327,Theoni,,ΚΟΛΩΝΑΚΙ,37.9792472,23.7452798,Entire home/apt,67,4,0,,,1,266,0,00000814268
951225684778048374,Condo in Athina · ★4.88 · 1 bedroom · 3 beds · 1 bath,280997612,Michael,,ΑΚΡΟΠΟΛΗ,37.96979,23.72408,Entire home/apt,105,1,8,2023-09-13,6.00,4,242,8,00002271473
951365411945769071,Condo in Athina · ★New · 3 bedrooms · 3 beds · 3 baths,401055707,Aikaterini,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9808455,23.7268263,Entire home/apt,200,2,1,2023-09-18,1,4,345,1,00002242900
954838313023199469,Rental unit in Athina · ★New · 1 bedroom · 2 beds · 1 bath,389742996,G,,ΝΙΡΒΑΝΑ,38.01372878225484,23.72107237103495,Entire home/apt,61,2,0,,,16,354,0,00002017196
954852314932359488,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,513244919,Bookiply,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.999700273181105,23.721075317196636,Entire home/apt,41,1,2,2023-09-10,2,5,364,2,00002170305
954852338025119049,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,513244919,Bookiply,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.0092871,23.7284431,Entire home/apt,58,1,1,2023-09-03,1,5,365,1,00002250800
954852385775269403,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,513244919,Bookiply,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.0092871,23.7284431,Entire home/apt,44,1,0,,,5,363,0,00002250800
954852591366256728,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,513244919,Bookiply,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.0092871,23.7284431,Entire home/apt,58,1,0,,,5,365,0,00002250800
954852605998048706,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,513244919,Bookiply,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.0092871,23.7284431,Entire home/apt,58,1,0,,,5,364,0,00002250800
951378119359239772,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,241178581,Maria,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96222510551543,23.722731290662278,Entire home/apt,59,1,2,2023-08-26,2,1,261,2,00002266155
951384804368983119,Rental unit in Athina · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,530057281,Γεωργιος,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9888106,23.7301153,Entire home/apt,62,3,4,2023-09-06,2.93,1,314,4,00002255978
954902208375855356,Rental unit in Athina · ★New · 1 bedroom · 2 beds · 1 bath,142466302,Caroline,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96627016198353,23.726998642086983,Entire home/apt,85,1,0,,,2,331,0,00002238121
954908420921546725,Rental unit in Athens · ★New · Studio · 1 bed · 1 bath,18045988,Pietro,,ΑΜΠΕΛΟΚΗΠΟΙ,37.995682,23.764099,Entire home/apt,41,1,1,2023-09-14,1,5,230,1,00002271983
954912814454435618,Rental unit in Athina · ★New · Studio · 1 bed · 1 bath,142466302,Caroline,,ΘΗΣΕΙΟ,37.97466271983302,23.71536623686552,Entire home/apt,60,1,2,2023-08-24,2,2,324,2,00002238158
951455900969730952,Condo in Athina · ★New · 1 bedroom · 1 bed · 1 bath,158241607,Vasilis,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9604302,23.7271941,Entire home/apt,59,1,1,2023-08-22,1,1,61,1,00002259874
951473786860681961,Home in Athens · ★New · 1 bedroom · 1 bed · 1 bath,73319160,Alexandros,,ΑΚΡΟΠΟΛΗ,37.967716217041016,23.723787307739258,Entire home/apt,99,2,0,,,1,352,0,00001918470
955002830257868092,Rental unit in Athina · ★4.50 · 1 bedroom · 2 beds · 1 bath,531051000,Δημήτρης,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97778216009446,23.724593098221497,Entire home/apt,65,2,4,2023-09-16,4,1,330,4,00002262908
951510679605656317,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,489545578,Jigsaws,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9566573,23.7199642,Entire home/apt,50,3,0,,,2,67,0,00002202443
955014515761470315,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,407200868,W.S.D Home Inn,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96057,23.7213,Entire home/apt,51,1,0,,,16,308,0,Exempt
955027684821245994,Rental unit in Athina · ★3.67 · 1 bedroom · 1 bed · 1 bath,407200868,W.S.D Home Inn,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.962008952842375,23.720396260793912,Entire home/apt,51,1,3,2023-09-06,3,16,329,3,Exempt
955040511332613160,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,407200868,W.S.D Home Inn,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99442,23.72785,Entire home/apt,45,1,1,2023-09-01,1,16,354,1,Exempt
951848691239882531,Rental unit in Athina · ★New · 1 bedroom · 1 bed · 1 bath,489545578,Jigsaws,,ΕΛΛΗΝΟΡΩΣΩΝ,37.99464826886339,23.773212525656138,Entire home/apt,45,2,1,2023-08-11,0.71,2,0,1,00002056486
